source,year,nb_departements,POPULATION,POP_IMMI,POP_TOT,NOMBRE_FAITS_TOTAL,N_VIOLENCES_PERS,N_ATTEINTES_BIENS,N_INFRA_ECO_STUP,NB_FOYERS_RSA,SUPERFICIE_km2,TAUX_CRIM_GLOBAL_1000,TAUX_VIOLENCES_PERS,TAUX_ATTEINTES_BIENS,TAUX_INFRA_ECO_STUP,TAUX_IMMI,DENSITE,TAUX_CHOMAGE,TAUX_PAUVRETE,n_articles_immigration,n_articles_imm_crime,share_crime_frame,sentiment_mean,share_neg_sentiment,frame_securitarian,frame_economic,frame_humanitarian
Midi Libre,2021,2,1958426,194959.44176770293,1958426.0,91210,15311,57348,18551,71819.0,11953.8,46.57311534875456,7.818013037000122,29.28269947396532,9.472402837789122,9.954904692222373,163.83292342184075,10.68342461241834,19.636630722631264,124,29,0.2339,0.3115,0.1967,0.2692,0.1719,0.5589
Ouest-France,2016,12,8521510,304138.7620583783,8521510.0,290102,37730,204392,47980,153920.0,76879.1,34.04349698586284,4.427619048736667,23.98542042431447,5.630457512811697,3.569071233365663,110.8429989424954,8.635314315185925,11.42257912822076,1649,183,0.111,0.3848,0.14,0.1081,0.1108,0.7812
Ouest-France,2017,12,8550761,319280.787971032,8550761.0,298424,41018,208002,49404,152711.0,76879.1,34.90028548336224,4.796999939537546,24.325554181668743,5.777731362155953,3.733945878864256,111.2234794632091,7.916041182767241,11.179152510614196,964,107,0.111,0.3913,0.1332,0.0942,0.1152,0.7906
Ouest-France,2018,12,8588469,332917.5075309009,8588469.0,299487,44985,204620,49882,152513.0,76879.1,34.87082505624692,5.237836918314545,23.82496810549121,5.808020032441172,3.8763312475238703,111.71396387314628,7.524048722770029,11.203539361138471,1362,164,0.1204,0.3761,0.1713,0.1203,0.127,0.7527
Ouest-France,2019,12,8631207,334462.5439370629,8631207.0,302658,49378,201490,51790,154784.0,76879.1,35.065547611127855,5.720868471813965,23.34435960115428,6.000319538159611,3.875037916910844,112.26987568793078,7.068225614331808,11.017967063842123,1023,139,0.1359,0.3509,0.1672,0.1204,0.178,0.7016
Ouest-France,2020,12,8677070,350587.20939559315,8677070.0,264688,49991,161901,52796,169266.0,76879.1,30.504306177085123,5.761276559944774,18.65848725433816,6.08454236280219,4.040387013076916,112.8664357413133,6.921859294669745,11.09775270559221,568,116,0.2042,0.2832,0.2177,0.1576,0.1678,0.6746
Ouest-France,2021,12,8721680,369395.8032084242,8721680.0,287113,54747,169937,62429,156263.0,76879.1,32.919460470918445,6.2771163353849255,19.48443419157777,7.157909943955752,4.235374414200294,113.44669747694756,6.47107829225562,11.304652780298804,590,119,0.2017,0.3084,0.2021,0.1493,0.2001,0.6505
Sud Ouest,2016,7,4388776,281283.46516615426,4388776.0,172050,21025,125014,26011,106298.0,54103.7,39.20227416482409,4.790629551382891,28.48493520744736,5.926709405993836,6.409155198765084,81.1178533076296,9.72281912542358,13.502183402995696,490,83,0.1694,0.2908,0.1778,0.108,0.1247,0.7673
Sud Ouest,2017,7,4411223,289052.76319964905,4411223.0,180153,22417,130216,27520,107020.0,54103.7,40.83969456996393,5.081810645256429,29.51925123712857,6.238632687578932,6.552667212690201,81.53274175333664,9.096861428225234,13.365055693162288,265,44,0.166,0.3436,0.139,0.117,0.136,0.747
Sud Ouest,2018,7,4436108,296514.61249988765,4436108.0,178986,24249,127333,27404,107470.0,54103.7,40.34752986176171,5.466278097828096,28.703764651356547,6.177487112577061,6.684116177962476,81.99269181220507,8.608099669800646,13.358131393840726,348,73,0.2098,0.3033,0.1682,0.17,0.1341,0.6959
Sud Ouest,2019,7,4467927,298392.1949879452,4467927.0,184734,26610,129707,28417,107980.0,54103.7,41.34669165364609,5.955782178177934,29.03068917643462,6.360220299033534,6.6785378317046185,82.58080316133646,8.037114294839643,13.174704899514252,198,37,0.1869,0.2872,0.1846,0.1213,0.1667,0.7121
Sud Ouest,2020,7,4492831,304892.12678297376,4492831.0,163710,27322,107779,28609,115510.0,54103.7,36.43804986210254,6.081243652387547,23.989106200522567,6.367700009192422,6.786191752660489,83.04110439766596,7.638368440744821,13.092002764973598,116,30,0.2586,0.2232,0.2232,0.2388,0.1661,0.5952
Sud Ouest,2021,7,4528203,313305.113194932,4528203.0,174708,30751,109733,34224,107272.0,54103.7,38.58219253862956,6.790994131667683,24.233233359900165,7.557965047061716,6.91897234277995,83.69488593201574,7.2956470016914,13.476536483584708,135,38,0.2815,0.2276,0.2358,0.2949,0.1421,0.563
